id,name,area.name,employer.name,salary.from,salary.to,salary.currency,salary.gross
117018448,Frontend-разработчик,Ярославль,Студия Перцы,40000.0,50000.0,RUR,False
117200391,Python Web3 разработчик,Москва,Полянский Герман Игоревич,100000.0,250000.0,RUR,True
117058015,Программист,Москва,ЕМЕ,,230000.0,RUR,False
117088562,Разработчик под IOS в команду,Москва,АйТи Фо Ю,,150000.0,RUR,False
117039237,Начинающий Frontend-разработчик,Новосибирск,Сычалин Артем Владимирович,65000.0,,RUR,True
116145431,Frontend-разработчик (React),Москва,НОВАТОР,80000.0,150000.0,RUR,False
117143928,Middle/Senior .NET Developer,Москва,РР-ТЕХ,250000.0,,RUR,False
116939144,Разработчик BPM,Астана,«Izi Paq»,300000.0,600000.0,KZT,False
116106388,Junior Python разработчик,Москва,DDPlanet,100000.0,,RUR,False
116210968,Junior Java-разработчик,Москва,Tech Horizon,,175000.0,RUR,True
116850238,Java-разработчик (Junior),Таганрог,Комплексные программные решения,55000.0,75000.0,RUR,False
117171983,Java developer (Payments),Санкт-Петербург,МОНЕТА,250000.0,350000.0,RUR,False
117109172,Разработчик java+ PHP/ back-end (middle+),Москва,Бизнес Трэвел Джоб,300000.0,350000.0,RUR,False
117048270,Junior frontend-разработчик React,Самара,Смирнов Андрей Петрович,60000.0,90000.0,RUR,True
117137879,Средний iOS разработчик,Ташкент,WATCHDOG,,2500.0,USD,True
116455408,Python-разработчик,Москва,amoCRM,80000.0,105000.0,RUR,True
117061650,Стажер-разработчик мобильных игр,Саратов,Курылев Дмитрий Петрович,30000.0,150000.0,RUR,True
116754024,Frontend-разработчик,Ташкент,PITTSBURGH INTERNATIONAL,5000000.0,13000000.0,UZS,True
116446104,Python-разработчик,Москва,ZephyrLabs,,160000.0,RUR,False
115597425,Начинающий Frontend-разработчик,Москва,Сычалин Артем Владимирович,65000.0,,RUR,True
117143009,Разработчик Junior C++,Москва,Ориент Системс,100000.0,150000.0,RUR,False
116587352,"Javascript разработчик (React, Typescript)",Москва,Эд-АйТи,,220000.0,RUR,False
116816973,Junior Android Kotlin developer,Москва,Илюхин Артём Вадимович,30000.0,,RUR,False
117205905,Инженер-программист,Алматы,ASPAN telecom,400000.0,,KZT,False
116956452,Frontend-разработчик (React),Казань,Мир технологий,120000.0,150000.0,RUR,False
117099632,PHP-разработчик native (продуктовая IT-компания),Москва,Система Продаж,80000.0,130000.0,RUR,False
117112976,PHP-разработчик,Алматы,Zymyran inc,500000.0,,KZT,False
115721472,Java разработчик / Backend Java Developer (Junior),Москва,Теории от практиков,50000.0,70000.0,RUR,True
117189114,Backend Go Developer,Самара,Альфа Сервис,,1200.0,USD,False
117123210,Java-разработчик,Санкт-Петербург,Eclipse Digital,180000.0,285000.0,RUR,False
101125199,"Senior front-end разработчик (TypeScript, React)",Москва,Mindbox,320000.0,460000.0,RUR,True
116828925,Web-разработчик,Кемерово,Jobers,100000.0,300000.0,RUR,False
117022783,Middle-фронтенд разработчик,Ижевск,Омегасофтвер Рус,,100000.0,RUR,True
116215586,Стажер Java-разработчик,Москва,Tech Horizon,50000.0,70000.0,RUR,True
116913216,Python-разработчик (junior|middle),Ростов-на-Дону,ФГАНУ НИИ Спецвузавтоматика,60000.0,150000.0,RUR,False
117144559,Tilda-разработчик / Вэб - разработчик,Астана,Центр развития предпринимателей,150000.0,500000.0,KZT,True
116883223,Java-разработчик middle+/senior,Красноярск,Крокодил,180000.0,240000.0,RUR,False
115820860,Начинающий Frontend-разработчик,Санкт-Петербург,Сычалин Артем Владимирович,65000.0,,RUR,True
116230563,Разработчик сайта,Москва,ТК Лидер ДВ,120000.0,,RUR,False
116345432,Frontend Developer (React),Москва,Offer Now,,400000.0,RUR,True
116858500,Backend-разработчик,Москва,Solid Apps,80000.0,160000.0,RUR,True
116231984,JavaScript разработчик,Москва,AG Soft,,110000.0,RUR,False
116760887,Python Backend разработчик,Москва,Эталон,150000.0,200000.0,RUR,False
116901974,Frontend-разработчик,Атырау,Citicom Systems,500000.0,,KZT,False
115908312,Frontend-разработчик,Санкт-Петербург,Vedexx,150000.0,200000.0,RUR,False
115694422,Frontend-разработчик TS/React,Москва,ТехАудит,130000.0,170000.0,RUR,False
116783735,Junior Java Developer,Астана,IServ,200000.0,,KZT,False
116498708,Frontend-разработчик (Junior/Junior+),Екатеринбург,VICTORY group,80000.0,140000.0,RUR,False
116841320,Разработчик Frontend React (junior),Нижний Новгород,Студия Т_Г,70000.0,80000.0,RUR,False
116852459,Python-разработчик,Казань,Эрэмэйч Рус,70000.0,170000.0,RUR,False
117047006,Программист-разработчик,Брянск,Мегаполис Групп,100000.0,,RUR,False
115688042,Python-разработчик,Москва,ProfPass,60000.0,,RUR,True
116371930,"Frontend-разработчик (react, nextjs, graphql)",Москва,SIA MEEKA,2600.0,,EUR,False
116715086,"Junior Backend Developer (Python, FastAPI, PostgreSQL)",Москва,Solo,50000.0,100000.0,RUR,True
117047054,Веб- разработчик,Москва,ФАРМАЦЕВТИКАЛ КОСМЕТИК РУС,130000.0,,RUR,False
116821591,Аналитик-разработчик отчётности,Москва,Экспобанк,,380000.0,RUR,True
117200983,Аналитик данных – Разработчик отчётов,Москва,"Красное & Белое, розничная сеть",,300000.0,RUR,False
116994779,IOS-разработчик,Красноярск,ZOTA,60000.0,,RUR,False
117155515,Front-End Разработчик (Angular),Москва,Юнитесс,150000.0,,RUR,False
116913205,Frontend разработчик,Москва,Кольба Владимир Сергеевич,30000.0,40000.0,RUR,False
115264604,Frontend-разработчик / React developer,Москва,КАТЮША ПРИНТ,,250000.0,RUR,True
117041258,Программист C# Junior,Уфа,Лексема,30000.0,,RUR,False
116636693,Frontend-разработчик junior/intern,Москва,Илюхин Артём Вадимович,30000.0,,RUR,False
116829797,Web-разработчик,Санкт-Петербург,SaytSPB,,100000.0,RUR,False
117086446,Business Development Associate,Москва,Наталья Мирская,500000.0,750000.0,RUR,True
117132580,Senior Java Developer,Санкт-Петербург,Brainway LTD,4000.0,5500.0,USD,False
115622030,Junior Web-разработчик,Нижний Новгород,CAD Exchanger,60000.0,,RUR,True
111882579,Frontend-разработчик,Москва,Лэтуаль Диджитал,200000.0,230000.0,RUR,True
117034842,Junior Golang Developer,Ростов-на-Дону,SkillsRock,75000.0,90000.0,RUR,True
117046287,Java-разработчик,Москва,Кадровое Агентство Уникальных Специалистов,,180000.0,RUR,False
116481243,Frontend Developer,Москва,Грамант,200000.0,250000.0,RUR,False
117082036,Младший 1С-программист,Москва,F1Pro,100000.0,,RUR,False
99067076,Младший Разработчик С++,Москва,TrueConf,100000.0,,RUR,False
117215152,Backend-разработчик (проект / разовая задача),Москва,FronTech AI,,30000.0,RUR,False
116234912,Frontend-разработчик,Санкт-Петербург,Технологии маркетинга,70000.0,140000.0,RUR,True
116214504,Начинающий Frontend-разработчик,Краснодар,Сычалин Артем Владимирович,65000.0,,RUR,True
116157890,Middle Frontend-разработчик,Санкт-Петербург,Макрон Цифровые Системы,150000.0,200000.0,RUR,False
116653842,Начинающий Frontend-разработчик,Екатеринбург,Сычалин Артем Владимирович,65000.0,,RUR,True
116740346,PHP-разработчик,Москва,Малюк Дарья Сергеевна,300000.0,,RUR,False
117042152,Технолог-программист станков с ЧПУ,Санкт-Петербург,Меркурий,172000.0,,RUR,True
116236691,Junior Front-end разработчик,Москва,TONKA,50000.0,80000.0,RUR,False
117087872,Разработчик Python/Django,Санкт-Петербург,Сколиолоджик.ру,130000.0,200000.0,RUR,False
117123901,Оператор-наладчик станков с ЧПУ (с функциями программиста),Екатеринбург,ДЗХМ,150000.0,200000.0,RUR,True
117147448,Middle Frontend разработчик (Vue.js),Ташкент,ANYSOFT,8000000.0,15000000.0,UZS,True
116105297,Junior developer TypeScript (JavaScript),Москва,Linked Helper,800.0,,USD,False
115863765,Frontend-разработчик,Ташкент,ONLINE COSMETIC,,2000.0,USD,True
116036947,Frontend разработчик,Москва,Агентство Нейрон,75000.0,,RUR,False
115798563,Trainee/Intern/Junior Python backend developer,Санкт-Петербург,Рекруто,20000.0,40000.0,RUR,True
117000391,Инженер-программист,Уфа,ФБУ ЦСМ им. А.М. Муратшина в Республике Башкортостан,100000.0,150000.0,RUR,True
117149701,Frontend-разработчик Angular,Москва,РР-ТЕХ,200000.0,,RUR,False
115988224,Java-разработчик,Санкт-Петербург,ЭКАН,130000.0,,RUR,True
116017891,Веб-разработчик,Москва,Точка Оплаты,50000.0,100000.0,RUR,False
117016389,Backend-разработчик,Кемерово,Софт Инжиниринг,70000.0,150000.0,RUR,False
115760677,Ведущий программист,Москва,ISS,300000.0,,RUR,False
116020311,Frontend-разработчик,Рязань,Умный Транспорт,250000.0,300000.0,RUR,False
116480503,React разработчик,Москва,Sibdev,150000.0,200000.0,RUR,False
116724918,Frontend developer (JavaScript) / Фронтенд разработчик,Москва,Kappa,700.0,,USD,False
116591570,Программист Java (Junior),Москва,ПКО ЦДУ,70000.0,,RUR,True
117143970,Разработчик,Астана,Частная компания Connected Home Ltd.,500000.0,,KZT,False
117012206,Веб-разработчик,Москва,Atrum,50000.0,200000.0,RUR,False
117012232,PHP-разработчик,Москва,Минин Юрий Владимирович,130000.0,160000.0,RUR,False
116883224,Java-разработчик middle+/senior,Уфа,Крокодил,180000.0,240000.0,RUR,False
112696337,Разработчик,Челябинск,Модерн Гласс,95000.0,122000.0,RUR,False
116180214,Golang-разработчик,Санкт-Петербург,IQ Progers,30000.0,80000.0,RUR,False
116973485,Программист-разработчик,Санкт-Петербург,Скайтек,70000.0,200000.0,RUR,True
116790448,Senior Frontend - разработчик,Москва,getmatch,,400000.0,RUR,False
116895505,Веб разработчик,Тобольск,Рябков Иван Эдуардович,40000.0,60000.0,RUR,False
117080027,Разработчик C++,Москва,LIAN,290000.0,310000.0,RUR,False
116674322,Unity-разработчик (Junior/Middle) Steam,Москва,Strong Monkey Games,,1000.0,USD,False
116653843,Начинающий Frontend-разработчик,Нижний Новгород,Сычалин Артем Владимирович,65000.0,,RUR,True
115688302,Java разработчик (middle),Москва,Лоджик Телеком,,240000.0,RUR,True
